Measurement Time	Port 1 ECT/RT-1 Temperature °C Temp	Port 2 EC-5 Soil Moisture m³/m³ VWC	Port 3 EC-5 Soil Moisture m³/m³ VWC	Port 4 EC-5 Soil Moisture m³/m³ VWC	Port 5 EC-5 Soil Moisture m³/m³ VWC
05/18/16 08:00 AM	8.2	0.084	0.043	0.183	0.169
05/18/16 10:00 AM	15.5	0.085	0.043	0.183	0.171
05/18/16 12:00 PM	19.0	0.085	0.043	0.186	0.182
05/18/16 02:00 PM	20.6	0.085	0.043	0.191	0.187
05/18/16 04:00 PM	21.7	0.085	0.043	0.194	0.184
05/18/16 06:00 PM	21.1	0.086	0.044	0.192	0.177
05/18/16 08:00 PM	19.0	0.087	0.044	0.189	0.170
05/18/16 10:00 PM	13.1	0.087	0.044	0.184	0.165
05/19/16 12:00 AM	8.4	0.087	0.044	0.179	0.161
05/19/16 02:00 AM	9.1	0.086	0.044	0.177	0.158
05/19/16 04:00 AM	6.8	0.086	0.044	0.174	0.156
05/19/16 06:00 AM	5.7	0.085	0.045	0.173	0.155
05/19/16 08:00 AM	9.2	0.085	0.044	0.171	0.154
05/19/16 10:00 AM	14.1	0.085	0.044	0.172	0.156
05/19/16 12:00 PM	16.4	0.085	0.044	0.174	0.162
05/19/16 02:00 PM	14.8	0.085	0.044	0.174	0.160
05/19/16 04:00 PM	15.7	0.085	0.044	0.173	0.158
05/19/16 06:00 PM	8.5	0.080	0.044	0.171	0.157
05/19/16 08:00 PM	7.2	0.080	0.044	0.186	0.187
05/19/16 10:00 PM	6.8	0.083	0.044	0.198	0.193
05/20/16 12:00 AM	4.5	0.083	0.043	0.199	0.191
05/20/16 02:00 AM	3.5	0.083	0.043	0.198	0.190
05/20/16 04:00 AM	3.7	0.083	0.043	0.198	0.189
05/20/16 06:00 AM	4.2	0.083	0.043	0.197	0.188
05/20/16 08:00 AM	5.1	0.082	0.043	0.197	0.188
05/20/16 10:00 AM	7.0	0.081	0.043	0.197	0.190
05/20/16 12:00 PM	8.3	0.080	0.043	0.199	0.196
05/20/16 02:00 PM	14.9	0.083	0.043	0.207	0.206
05/20/16 04:00 PM	16.7	0.084	0.043	0.209	0.206
05/20/16 06:00 PM	15.7	0.084	0.043	0.209	0.205
05/20/16 08:00 PM	9.8	0.080	0.044	0.225	0.238
05/20/16 10:00 PM	8.7	0.079	0.044	0.237	0.235
05/21/16 12:00 AM	8.3	0.077	0.043	0.237	0.235
05/21/16 02:00 AM	7.3	0.077	0.064	0.273	0.281
05/21/16 04:00 AM	6.1	0.075	0.126	0.275	0.272
05/21/16 06:00 AM	6.5	0.078	0.129	0.264	0.259
05/21/16 08:00 AM	6.1	0.095	0.131	0.268	0.262
05/21/16 10:00 AM	5.1	0.116	0.136	0.282	0.281
05/21/16 12:00 PM	5.3	0.127	0.140	0.281	0.275
05/21/16 02:00 PM	7.0	0.129	0.141	0.274	0.270
05/21/16 04:00 PM	10.1	0.129	0.141	0.267	0.261
05/21/16 06:00 PM	10.9	0.133	0.140	0.261	0.255
05/21/16 08:00 PM	9.2	0.134	0.138	0.254	0.249
05/21/16 10:00 PM	5.7	0.135	0.137	0.247	0.243
05/22/16 12:00 AM	1.2	0.134	0.135	0.242	0.238
05/22/16 02:00 AM	-2.2	0.134	0.134	0.239	0.235
05/22/16 04:00 AM	-2.4	0.134	0.133	0.236	0.232
05/22/16 06:00 AM	-3.1	0.134	0.131	0.234	0.229
05/22/16 08:00 AM	1.4	0.134	0.130	0.233	0.227
05/22/16 10:00 AM	6.4	0.134	0.129	0.233	0.229
05/22/16 12:00 PM	9.7	0.134	0.129	0.234	0.232
05/22/16 02:00 PM	12.2	0.134	0.129	0.235	0.232
05/22/16 04:00 PM	13.4	0.135	0.129	0.234	0.228
05/22/16 06:00 PM	12.2	0.137	0.128	0.230	0.222
05/22/16 08:00 PM	11.4	0.138	0.128	0.225	0.216
05/22/16 10:00 PM	5.8	0.138	0.127	0.220	0.213
05/23/16 12:00 AM	4.3	0.137	0.126	0.218	0.210
05/23/16 02:00 AM	0.5	0.136	0.124	0.215	0.208
05/23/16 04:00 AM	1.4	0.136	0.124	0.213	0.207
05/23/16 06:00 AM	2.3	0.136	0.123	0.213	0.208
05/23/16 08:00 AM	2.5	0.136	0.123	0.213	0.208
05/23/16 10:00 AM	5.4	0.136	0.123	0.214	0.210
05/23/16 12:00 PM	11.7	0.137	0.123	0.218	0.217
05/23/16 02:00 PM	13.6	0.138	0.122	0.221	0.220
05/23/16 04:00 PM	15.0	0.138	0.123	0.222	0.217
05/23/16 06:00 PM	15.1	0.138	0.123	0.220	0.212
05/23/16 08:00 PM	13.3	0.138	0.122	0.216	0.206
05/23/16 10:00 PM	5.1	0.137	0.121	0.211	0.201
05/24/16 12:00 AM	3.9	0.137	0.120	0.207	0.197
05/24/16 02:00 AM	2.4	0.137	0.119	0.205	0.195
05/24/16 04:00 AM	1.0	0.136	0.118	0.203	0.193
05/24/16 06:00 AM	0.4	0.135	0.118	0.201	0.191
05/24/16 08:00 AM	4.3	0.135	0.117	0.201	0.191
05/24/16 10:00 AM	12.3	0.136	0.117	0.202	0.196
05/24/16 12:00 PM	16.5	0.136	0.117	0.205	0.205
05/24/16 02:00 PM	17.6	0.135	0.117	0.210	0.209
05/24/16 04:00 PM	17.4	0.135	0.117	0.213	0.208
05/24/16 06:00 PM	16.2	0.136	0.117	0.210	0.201
05/24/16 08:00 PM	15.2	0.136	0.117	0.207	0.196
05/24/16 10:00 PM	8.8	0.136	0.116	0.202	0.191
05/25/16 12:00 AM	6.9	0.136	0.115	0.200	0.188
05/25/16 02:00 AM	5.4	0.129	0.115	0.224	0.242
05/25/16 04:00 AM	4.8	0.128	0.132	0.275	0.284
05/25/16 06:00 AM	4.2	0.134	0.144	0.269	0.268
05/25/16 08:00 AM	5.4	0.136	0.143	0.259	0.256
05/25/16 10:00 AM	7.5	0.140	0.142	0.257	0.250
05/25/16 12:00 PM	11.1	0.143	0.141	0.256	0.252
05/25/16 02:00 PM	11.8	0.145	0.140	0.254	0.253
05/25/16 04:00 PM	13.5	0.145	0.140	0.257	0.253
05/25/16 06:00 PM	12.7	0.145	0.140	0.255	0.251
05/25/16 08:00 PM	14.3	0.147	0.141	0.253	0.247
05/25/16 10:00 PM	7.8	0.146	0.140	0.247	0.243
