Measurement Time	Port 1 ECT/RT-1 Temperature °C Temp	Port 2 EC-5 Soil Moisture m³/m³ VWC	Port 3 EC-5 Soil Moisture m³/m³ VWC	Port 4 EC-5 Soil Moisture m³/m³ VWC	Port 5 EC-5 Soil Moisture m³/m³ VWC
05/10/16 02:00 PM	8.6	0.081	0.109	-0.039	0.151
05/10/16 04:00 PM	9.3	0.081	0.110	* * * 	0.154
05/10/16 06:00 PM	6.0	0.082	0.111	* * * 	0.152
05/10/16 08:00 PM	4.3	0.083	0.111	* * * 	0.149
05/10/16 10:00 PM	2.8	0.083	0.111	* * * 	0.146
05/11/16 12:00 AM	2.1	0.083	0.111	* * * 	0.144
05/11/16 02:00 AM	-0.2	0.083	0.110	* * * 	0.143
05/11/16 04:00 AM	-2.5	0.082	0.109	* * * 	0.141
05/11/16 06:00 AM	-3.7	0.082	0.109	* * * 	0.140
05/11/16 08:00 AM	-0.8	0.083	0.109	* * * 	0.140
05/11/16 10:00 AM	8.5	0.081	0.109	* * * 	0.143
05/11/16 12:00 PM	12.3	0.081	0.109	* * * 	0.151
05/11/16 02:00 PM	14.7	0.081	0.109	* * * 	0.158
05/11/16 04:00 PM	15.7	0.082	0.111	* * * 	0.161
05/11/16 06:00 PM	14.9	0.083	0.111	* * * 	0.156
05/11/16 08:00 PM	13.2	0.083	0.112	* * * 	0.151
05/11/16 10:00 PM	4.6	0.084	0.111	* * * 	0.146
05/12/16 12:00 AM	-0.7	0.084	0.111	* * * 	0.142
05/12/16 02:00 AM	-0.5	0.083	0.111	* * * 	0.140
05/12/16 04:00 AM	-1.8	0.083	0.110	* * * 	0.139
05/12/16 06:00 AM	-1.6	0.083	0.109	* * * 	0.137
05/12/16 08:00 AM	2.5	0.083	0.109	* * * 	0.137
05/12/16 10:00 AM	11.6	0.082	0.109	* * * 	0.140
05/12/16 12:00 PM	14.9	0.082	0.109	* * * 	0.149
05/12/16 02:00 PM	18.4	0.082	0.110	* * * 	0.155
05/12/16 04:00 PM	21.0	0.082	0.111	* * * 	0.157
05/12/16 06:00 PM	21.3	0.083	0.111	* * * 	0.154
05/12/16 08:00 PM	19.4	0.083	0.112	* * * 	0.148
05/12/16 10:00 PM	11.3	0.084	0.112	* * * 	0.144
05/13/16 12:00 AM	3.6	0.085	0.112	* * * 	0.140
05/13/16 02:00 AM	3.9	0.084	0.111	* * * 	0.137
05/13/16 04:00 AM	2.9	0.084	0.111	* * * 	0.135
05/13/16 06:00 AM	2.6	0.083	0.111	* * * 	0.134
05/13/16 08:00 AM	6.2	0.083	0.110	* * * 	0.134
05/13/16 10:00 AM	12.0	0.083	0.110	* * * 	0.135
05/13/16 12:00 PM	18.2	0.082	0.110	* * * 	0.143
05/13/16 02:00 PM	23.7	0.082	0.111	* * * 	0.150
05/13/16 04:00 PM	23.5	0.082	0.111	* * * 	0.151
05/13/16 06:00 PM	24.3	0.083	0.112	* * * 	0.146
05/13/16 08:00 PM	20.3	0.083	0.113	* * * 	0.142
05/13/16 10:00 PM	13.7	0.084	0.113	* * * 	0.138
05/14/16 12:00 AM	9.9	0.084	0.112	* * * 	0.134
05/14/16 02:00 AM	7.2	0.084	0.112	* * * 	0.132
05/14/16 04:00 AM	5.6	0.083	0.111	* * * 	0.129
05/14/16 06:00 AM	5.3	0.083	0.111	* * * 	0.128
05/14/16 08:00 AM	5.8	0.083	0.111	* * * 	0.128
05/14/16 10:00 AM	9.8	0.083	0.111	* * * 	0.129
05/14/16 12:00 PM	13.3	0.083	0.111	* * * 	0.134
05/14/16 02:00 PM	19.8	0.082	0.111	* * * 	0.140
05/14/16 04:00 PM	22.0	0.082	0.111	* * * 	0.142
05/14/16 06:00 PM	19.4	0.082	0.111	* * * 	0.139
05/14/16 08:00 PM	15.3	0.083	0.112	* * * 	0.134
05/14/16 10:00 PM	11.8	0.083	0.112	* * * 	0.130
05/15/16 12:00 AM	9.1	0.083	0.111	* * * 	0.128
05/15/16 02:00 AM	8.1	0.083	0.111	* * * 	0.125
05/15/16 04:00 AM	7.0	0.083	0.110	* * * 	0.122
05/15/16 06:00 AM	5.8	0.081	0.109	* * * 	0.123
05/15/16 08:00 AM	5.5	0.082	0.109	* * * 	0.130
05/15/16 10:00 AM	5.9	0.082	0.108	* * * 	0.151
05/15/16 12:00 PM	8.5	0.080	0.108	* * * 	0.170
05/15/16 02:00 PM	9.4	0.078	0.107	* * * 	0.202
05/15/16 04:00 PM	11.1	0.078	0.106	* * * 	0.245
05/15/16 06:00 PM	11.3	0.079	0.108	* * * 	0.243
05/15/16 08:00 PM	10.2	0.079	0.107	* * * 	0.243
05/15/16 10:00 PM	7.0	0.079	0.109	* * * 	0.236
05/16/16 12:00 AM	6.0	0.078	0.110	* * * 	0.233
05/16/16 02:00 AM	6.5	0.078	0.109	* * * 	0.230
05/16/16 04:00 AM	5.2	0.077	0.109	* * * 	0.227
05/16/16 06:00 AM	4.9	0.077	0.109	* * * 	0.225
05/16/16 08:00 AM	5.9	0.077	0.108	* * * 	0.223
05/16/16 10:00 AM	8.6	0.077	0.108	* * * 	0.222
05/16/16 12:00 PM	11.6	0.077	0.108	* * * 	0.223
05/16/16 02:00 PM	12.8	0.078	0.108	* * * 	0.222
05/16/16 04:00 PM	12.5	0.078	0.108	* * * 	0.220
05/16/16 06:00 PM	16.1	0.079	0.109	* * * 	0.219
05/16/16 08:00 PM	14.5	0.080	0.109	* * * 	0.214
05/16/16 10:00 PM	10.1	0.080	0.110	* * * 	0.210
05/17/16 12:00 AM	8.5	0.080	0.109	* * * 	0.207
05/17/16 02:00 AM	7.3	0.080	0.109	* * * 	0.205
05/17/16 04:00 AM	7.9	0.079	0.109	* * * 	0.203
05/17/16 06:00 AM	7.4	0.079	0.108	* * * 	0.202
05/17/16 08:00 AM	9.2	0.079	0.108	* * * 	0.202
05/17/16 10:00 AM	14.0	0.079	0.108	* * * 	0.202
05/17/16 12:00 PM	15.7	0.079	0.108	* * * 	0.207
05/17/16 02:00 PM	18.3	0.079	0.109	* * * 	0.207
05/17/16 04:00 PM	19.0	0.080	0.110	* * * 	0.209
05/17/16 06:00 PM	20.7	0.081	0.111	* * * 	0.206
05/17/16 08:00 PM	15.5	0.082	0.111	* * * 	0.201
05/17/16 10:00 PM	8.4	0.083	0.111	* * * 	0.196
05/18/16 12:00 AM	5.7	0.082	0.111	* * * 	0.191
05/18/16 02:00 AM	2.3	0.082	0.110	* * * 	0.189
05/18/16 04:00 AM	5.3	0.081	0.109	* * * 	0.187
05/18/16 06:00 AM	5.9	0.081	0.109	* * * 	0.185
05/18/16 08:00 AM	7.8	0.080	0.108	* * * 	0.185
05/18/16 10:00 AM	15.9	0.080	0.108	* * * 	0.187
05/18/16 12:00 PM	19.8	0.080	0.108	* * * 	0.195
05/18/16 02:00 PM	21.6	0.081	0.109	* * * 	0.201
05/18/16 04:00 PM	22.4	0.082	0.111	* * * 	0.200
05/18/16 06:00 PM	21.1	0.083	0.111	* * * 	0.195
05/18/16 08:00 PM	18.7	0.084	0.112	* * * 	0.188
05/18/16 10:00 PM	12.9	0.085	0.112	* * * 	0.184
05/19/16 12:00 AM	8.6	0.084	0.112	* * * 	0.180
05/19/16 02:00 AM	9.0	0.084	0.111	* * * 	0.178
05/19/16 04:00 AM	6.7	0.083	0.111	* * * 	0.175
05/19/16 06:00 AM	6.0	0.083	0.110	* * * 	0.174
05/19/16 08:00 AM	9.0	0.083	0.110	* * * 	0.173
05/19/16 10:00 AM	14.2	0.083	0.110	* * * 	0.174
05/19/16 12:00 PM	16.4	0.082	0.109	* * * 	0.178
05/19/16 02:00 PM	14.7	0.082	0.110	* * * 	0.177
05/19/16 04:00 PM	15.7	0.083	0.110	* * * 	0.175
05/19/16 06:00 PM	8.3	0.083	0.109	* * * 	0.174
05/19/16 08:00 PM	7.2	0.081	0.108	* * * 	0.190
05/19/16 10:00 PM	6.8	0.078	0.106	* * * 	0.196
05/20/16 12:00 AM	4.5	0.078	0.106	* * * 	0.196
05/20/16 02:00 AM	3.5	0.079	0.105	* * * 	0.194
05/20/16 04:00 AM	3.7	0.081	0.105	* * * 	0.194
05/20/16 06:00 AM	4.1	0.081	0.105	* * * 	0.193
05/20/16 08:00 AM	5.1	0.081	0.105	* * * 	0.193
05/20/16 10:00 AM	6.9	0.079	0.105	* * * 	0.194
05/20/16 12:00 PM	8.5	0.077	0.105	* * * 	0.202
05/20/16 02:00 PM	15.3	0.077	0.106	* * * 	0.213
05/20/16 04:00 PM	16.7	0.078	0.107	* * * 	0.215
05/20/16 06:00 PM	15.5	0.079	0.108	* * * 	0.214
05/20/16 08:00 PM	9.8	0.079	0.106	* * * 	0.243
05/20/16 10:00 PM	8.6	0.079	0.106	* * * 	0.255
05/21/16 12:00 AM	8.3	0.080	0.107	* * * 	0.259
05/21/16 02:00 AM	7.2	0.081	0.108	* * * 	0.328
05/21/16 04:00 AM	6.1	0.081	0.107	* * * 	0.334
05/21/16 06:00 AM	6.5	0.081	0.107	* * * 	0.316
05/21/16 08:00 AM	6.2	0.083	0.109	* * * 	0.324
05/21/16 10:00 AM	5.1	0.111	0.112	* * * 	0.351
05/21/16 12:00 PM	5.3	0.147	0.131	* * * 	0.346
05/21/16 02:00 PM	7.0	0.155	0.162	* * * 	0.331
05/21/16 04:00 PM	10.4	0.156	0.172	* * * 	0.303
05/21/16 06:00 PM	10.8	0.157	0.176	* * * 	0.291
05/21/16 08:00 PM	9.0	0.158	0.177	* * * 	0.280
05/21/16 10:00 PM	5.4	0.158	0.178	* * * 	0.270
05/22/16 12:00 AM	0.8	0.157	0.177	* * * 	0.262
05/22/16 02:00 AM	-2.0	0.156	0.177	* * * 	0.257
05/22/16 04:00 AM	-1.8	0.156	0.176	* * * 	0.253
05/22/16 06:00 AM	-1.9	0.156	0.176	* * * 	0.249
05/22/16 08:00 AM	1.1	0.156	0.175	* * * 	0.247
05/22/16 10:00 AM	6.4	0.156	0.175	* * * 	0.247
05/22/16 12:00 PM	10.2	0.156	0.175	* * * 	0.247
05/22/16 02:00 PM	12.7	0.156	0.174	* * * 	0.247
05/22/16 04:00 PM	13.6	0.156	0.175	* * * 	0.242
05/22/16 06:00 PM	12.1	0.157	0.175	* * * 	0.236
05/22/16 08:00 PM	11.2	0.156	0.175	* * * 	0.230
05/22/16 10:00 PM	5.4	0.156	0.175	* * * 	0.225
05/23/16 12:00 AM	4.1	0.155	0.174	* * * 	0.223
05/23/16 02:00 AM	-0.1	0.154	0.174	* * * 	0.220
05/23/16 04:00 AM	1.5	0.153	0.173	* * * 	0.219
05/23/16 06:00 AM	2.2	0.152	0.172	* * * 	0.219
05/23/16 08:00 AM	2.5	0.152	0.171	* * * 	0.219
05/23/16 10:00 AM	5.9	0.152	0.171	* * * 	0.219
05/23/16 12:00 PM	12.2	0.152	0.171	* * * 	0.225
05/23/16 02:00 PM	14.4	0.152	0.171	* * * 	0.229
05/23/16 04:00 PM	16.0	0.152	0.171	* * * 	0.228
05/23/16 06:00 PM	15.5	0.152	0.171	* * * 	0.225
05/23/16 08:00 PM	13.0	0.153	0.171	* * * 	0.219
05/23/16 10:00 PM	5.1	0.152	0.171	* * * 	0.214
05/24/16 12:00 AM	3.7	0.151	0.170	* * * 	0.210
05/24/16 02:00 AM	2.3	0.151	0.170	* * * 	0.207
05/24/16 04:00 AM	0.8	0.150	0.169	* * * 	0.206
05/24/16 06:00 AM	0.1	0.149	0.168	* * * 	0.203
05/24/16 08:00 AM	4.0	0.149	0.168	* * * 	0.203
05/24/16 10:00 AM	12.8	0.149	0.167	* * * 	0.206
05/24/16 12:00 PM	17.3	0.148	0.167	* * * 	0.213
05/24/16 02:00 PM	18.6	0.148	0.167	* * * 	0.219
05/24/16 04:00 PM	18.3	0.148	0.167	* * * 	0.219
05/24/16 06:00 PM	16.5	0.148	0.168	* * * 	0.213
05/24/16 08:00 PM	15.0	0.148	0.168	* * * 	0.209
05/24/16 10:00 PM	8.7	0.148	0.166	* * * 	0.203
05/25/16 12:00 AM	6.8	0.148	0.164	* * * 	0.201
05/25/16 02:00 AM	5.5	0.148	0.164	* * * 	0.265
05/25/16 04:00 AM	4.8	0.178	0.164	* * * 	0.342
05/25/16 06:00 AM	4.1	0.185	0.176	* * * 	0.326
05/25/16 08:00 AM	5.5	0.185	0.182	* * * 	0.304
05/25/16 10:00 AM	7.9	0.181	0.181	* * * 	0.290
05/25/16 12:00 PM	11.9	0.181	0.182	* * * 	0.277
05/25/16 02:00 PM	12.0	0.179	0.185	* * * 	0.276
05/25/16 04:00 PM	14.7	0.179	0.184	* * * 	0.273
05/25/16 06:00 PM	12.8	0.179	0.183	* * * 	0.271
05/25/16 08:00 PM	14.0	0.178	0.187	* * * 	0.270
05/25/16 10:00 PM	7.6	0.177	0.187	* * * 	0.264
05/26/16 12:00 AM	5.4	0.176	0.187	* * * 	0.259
05/26/16 02:00 AM	4.3	0.174	0.186	* * * 	0.256
05/26/16 04:00 AM	2.4	0.173	0.185	* * * 	0.253
05/26/16 06:00 AM	1.5	0.172	0.185	* * * 	0.250
05/26/16 08:00 AM	5.1	0.171	0.185	* * * 	0.248
05/26/16 10:00 AM	13.3	0.170	0.184	* * * 	0.249
05/26/16 12:00 PM	16.6	0.170	0.183	* * * 	0.253
05/26/16 02:00 PM	18.6	0.170	0.183	* * * 	0.253
05/26/16 04:00 PM	18.6	0.170	0.183	* * * 	0.249
05/26/16 06:00 PM	17.8	0.170	0.184	* * * 	0.242
05/26/16 08:00 PM	13.3	0.170	0.184	* * * 	0.236
05/26/16 10:00 PM	11.5	0.169	0.184	* * * 	0.232
05/27/16 12:00 AM	7.1	0.168	0.183	* * * 	0.229
05/27/16 02:00 AM	7.1	0.167	0.182	* * * 	0.226
05/27/16 04:00 AM	7.2	0.166	0.181	* * * 	0.225
05/27/16 06:00 AM	4.8	0.164	0.180	* * * 	0.224
05/27/16 08:00 AM	7.7	0.164	0.179	* * * 	0.222
05/27/16 10:00 AM	13.1	0.163	0.179	* * * 	0.224
05/27/16 12:00 PM	16.2	0.162	0.178	* * * 	0.229
05/27/16 02:00 PM	17.9	0.162	0.178	* * * 	0.234
05/27/16 04:00 PM	11.9	0.162	0.175	* * * 	0.229
05/27/16 06:00 PM	13.8	0.162	0.178	* * * 	0.227
05/27/16 08:00 PM	10.8	0.161	0.178	* * * 	0.223
05/27/16 10:00 PM	8.6	0.161	0.178	* * * 	0.219
05/28/16 12:00 AM	6.8	0.160	0.177	* * * 	0.216
05/28/16 02:00 AM	6.3	0.159	0.176	* * * 	0.213
05/28/16 04:00 AM	5.9	0.158	0.175	* * * 	0.213
05/28/16 06:00 AM	5.7	0.157	0.175	* * * 	0.212
05/28/16 08:00 AM	6.5	0.157	0.174	* * * 	0.211
05/28/16 10:00 AM	9.3	0.156	0.174	* * * 	0.212
05/28/16 12:00 PM	14.3	0.156	0.174	* * * 	0.218
05/28/16 02:00 PM	15.5	0.156	0.174	* * * 	0.223
05/28/16 04:00 PM	16.8	0.156	0.174	* * * 	0.220
05/28/16 06:00 PM	18.1	0.156	0.174	* * * 	0.219
05/28/16 08:00 PM	16.2	0.156	0.174	* * * 	0.214
05/28/16 10:00 PM	8.6	0.156	0.174	* * * 	0.210
05/29/16 12:00 AM	2.7	0.155	0.173	* * * 	0.207
05/29/16 02:00 AM	2.8	0.154	0.172	* * * 	0.204
05/29/16 04:00 AM	1.4	0.153	0.171	* * * 	0.202
05/29/16 06:00 AM	1.4	0.153	0.170	* * * 	0.200
05/29/16 08:00 AM	6.1	0.152	0.170	* * * 	0.200
05/29/16 10:00 AM	14.6	0.151	0.169	* * * 	0.202
05/29/16 12:00 PM	17.7	0.151	0.169	* * * 	0.210
05/29/16 02:00 PM	20.2	0.151	0.168	* * * 	0.217
05/29/16 04:00 PM	22.0	0.151	0.169	* * * 	0.218
05/29/16 06:00 PM	22.8	0.151	0.169	* * * 	0.213
05/29/16 08:00 PM	18.7	0.151	0.170	* * * 	0.207
05/29/16 10:00 PM	14.2	0.151	0.169	* * * 	0.203
05/30/16 12:00 AM	11.1	0.151	0.169	* * * 	0.200
05/30/16 02:00 AM	6.3	0.150	0.168	* * * 	0.196
05/30/16 04:00 AM	4.3	0.149	0.168	* * * 	0.194
05/30/16 06:00 AM	3.5	0.149	0.167	* * * 	0.192
05/30/16 08:00 AM	7.8	0.148	0.166	* * * 	0.191
05/30/16 10:00 AM	15.6	0.147	0.165	* * * 	0.193
05/30/16 12:00 PM	19.7	0.146	0.165	* * * 	0.201
05/30/16 02:00 PM	20.7	0.145	0.164	* * * 	0.204
05/30/16 04:00 PM	21.9	0.145	0.165	* * * 	0.205
05/30/16 06:00 PM	21.6	0.145	0.165	* * * 	0.201
05/30/16 08:00 PM	18.3	0.145	0.165	* * * 	0.194
05/30/16 10:00 PM	10.8	0.145	0.164	* * * 	0.190
05/31/16 12:00 AM	9.4	0.145	0.163	* * * 	0.186
05/31/16 02:00 AM	8.1	0.144	0.162	* * * 	0.184
05/31/16 04:00 AM	6.0	0.143	0.162	* * * 	0.181
05/31/16 06:00 AM	4.3	0.142	0.162	* * * 	0.179
05/31/16 08:00 AM	6.0	0.142	0.161	* * * 	0.179
05/31/16 10:00 AM	14.3	0.141	0.160	* * * 	0.181
05/31/16 12:00 PM	17.6	0.140	0.159	* * * 	0.189
05/31/16 02:00 PM	20.3	0.139	0.159	* * * 	0.194
05/31/16 04:00 PM	21.9	0.137	0.159	* * * 	0.196
05/31/16 06:00 PM	21.9	0.137	0.160	* * * 	0.191
05/31/16 08:00 PM	20.2	0.137	0.160	* * * 	0.184
05/31/16 10:00 PM	9.5	0.137	0.160	* * * 	0.179
06/01/16 12:00 AM	6.9	0.137	0.159	* * * 	0.175
