Measurement Time	Port 1 ECT/RT-1 Temperature °C Temp	Port 2 EC-5 Soil Moisture m³/m³ VWC	Port 3 EC-5 Soil Moisture m³/m³ VWC	Port 4 EC-5 Soil Moisture m³/m³ VWC	Port 5 EC-5 Soil Moisture m³/m³ VWC
05/26/16 12:00 AM	6.2	0.162	0.136	0.174	0.150
05/26/16 04:00 AM	2.9	0.158	0.131	0.172	0.150
05/26/16 08:00 AM	3.2	0.155	0.128	0.171	0.148
05/26/16 12:00 PM	14.7	0.159	0.131	0.171	0.147
05/26/16 04:00 PM	18.2	0.161	0.134	0.171	0.146
05/26/16 08:00 PM	15.6	0.154	0.128	0.171	0.146
05/27/16 12:00 AM	9.3	0.149	0.125	0.172	0.147
05/27/16 04:00 AM	6.8	0.146	0.123	0.171	0.146
05/27/16 08:00 AM	6.1	0.145	0.121	0.170	0.145
05/27/16 12:00 PM	15.0	0.149	0.122	0.168	0.145
05/27/16 04:00 PM	15.0	0.151	0.123	0.168	0.144
05/27/16 08:00 PM	12.5	0.147	0.124	0.172	0.144
05/28/16 12:00 AM	7.7	0.143	0.123	0.173	0.144
05/28/16 04:00 AM	6.1	0.140	0.121	0.171	0.143
05/28/16 08:00 AM	6.0	0.140	0.119	0.170	0.142
05/28/16 12:00 PM	12.0	0.143	0.121	0.169	0.140
05/28/16 04:00 PM	16.0	0.147	0.124	0.169	0.140
05/28/16 08:00 PM	17.8	0.145	0.123	0.172	0.140
05/29/16 12:00 AM	5.1	0.140	0.120	0.174	0.141
05/29/16 04:00 AM	0.7	0.134	0.117	0.173	0.140
05/29/16 08:00 AM	3.3	0.133	0.115	0.171	0.140
05/29/16 12:00 PM	16.1	0.139	0.117	0.169	0.139
05/29/16 04:00 PM	20.7	0.146	0.119	0.168	0.138
05/29/16 08:00 PM	21.1	0.143	0.117	0.169	0.139
05/30/16 12:00 AM	12.8	0.137	0.114	0.170	0.140
05/30/16 04:00 AM	4.7	0.132	0.111	0.170	0.140
05/30/16 08:00 AM	5.3	0.129	0.108	0.169	0.139
05/30/16 12:00 PM	17.1	0.134	0.108	0.168	0.138
05/30/16 04:00 PM	20.9	0.140	0.109	0.166	0.137
05/30/16 08:00 PM	20.5	0.138	0.106	0.167	0.138
05/31/16 12:00 AM	10.2	0.131	0.104	0.168	0.138
05/31/16 04:00 AM	6.7	0.127	0.101	0.168	0.137
05/31/16 08:00 AM	4.9	0.123	0.100	0.167	0.135
05/31/16 12:00 PM	15.7	0.128	0.099	0.165	0.134
05/31/16 04:00 PM	21.0	0.134	0.100	0.163	0.134
05/31/16 08:00 PM	22.3	0.130	0.097	0.163	0.134
06/01/16 12:00 AM	7.8	0.123	0.094	0.165	0.135
06/01/16 04:00 AM	4.7	0.119	0.092	0.164	0.135
06/01/16 08:00 AM	6.0	0.117	0.091	0.163	0.134
06/01/16 12:00 PM	18.7	0.120	0.090	0.162	0.132
06/01/16 04:00 PM	23.3	0.125	0.089	0.160	0.132
06/01/16 08:00 PM	22.0	0.118	0.086	0.161	0.132
06/02/16 12:00 AM	9.5	0.111	0.084	0.162	0.133
06/02/16 04:00 AM	7.1	0.108	0.083	0.161	0.131
06/02/16 08:00 AM	8.1	0.106	0.082	0.160	0.130
06/02/16 12:00 PM	17.7	0.109	0.080	0.158	0.128
06/02/16 04:00 PM	23.5	0.111	0.079	0.156	0.128
06/02/16 08:00 PM	22.2	0.105	0.076	0.156	0.128
06/03/16 12:00 AM	14.5	0.100	0.072	0.157	0.128
06/03/16 04:00 AM	10.1	0.097	0.072	0.156	0.128
06/03/16 08:00 AM	8.7	0.095	0.072	0.156	0.129
06/03/16 12:00 PM	19.2	0.098	0.070	0.153	0.129
06/03/16 04:00 PM	24.5	0.099	0.068	0.152	0.129
06/03/16 08:00 PM	27.6	0.092	0.064	0.151	0.131
06/04/16 12:00 AM	13.5	0.084	0.062	0.152	0.132
06/04/16 04:00 AM	9.7	0.083	0.063	0.152	0.132
06/04/16 08:00 AM	11.8	0.082	0.062	0.151	0.131
06/04/16 12:00 PM	23.8	0.084	0.060	0.148	0.130
06/04/16 04:00 PM	28.1	0.085	0.059	0.147	0.130
06/04/16 08:00 PM	28.7	0.077	0.054	0.146	0.130
06/05/16 12:00 AM	14.0	0.068	0.052	0.147	0.131
06/05/16 04:00 AM	10.9	0.066	0.053	0.147	0.131
06/05/16 08:00 AM	12.1	0.066	0.052	0.145	0.129
06/05/16 12:00 PM	25.9	0.070	0.051	0.143	0.129
06/05/16 04:00 PM	31.0	0.071	0.050	0.141	0.128
06/05/16 08:00 PM	29.5	0.063	0.046	0.140	0.129
06/06/16 12:00 AM	16.3	0.054	0.043	0.141	0.131
06/06/16 04:00 AM	13.6	0.053	0.042	0.141	0.132
06/06/16 08:00 AM	15.7	0.052	0.041	0.140	0.131
06/06/16 12:00 PM	25.9	0.056	0.041	0.137	0.130
06/06/16 04:00 PM	31.8	0.059	0.041	0.134	0.129
06/06/16 08:00 PM	28.3	0.054	0.037	0.134	0.129
06/07/16 12:00 AM	18.2	0.046	0.032	0.134	0.130
06/07/16 04:00 AM	13.7	0.043	0.030	0.133	0.130
06/07/16 08:00 AM	10.5	0.043	0.030	0.132	0.129
06/07/16 12:00 PM	25.4	0.049	0.032	0.129	0.128
06/07/16 04:00 PM	29.6	0.053	0.033	0.128	0.127
06/07/16 08:00 PM	27.4	0.047	0.029	0.127	0.127
06/08/16 12:00 AM	16.0	0.039	0.025	0.128	0.127
06/08/16 04:00 AM	14.1	0.037	0.023	0.128	0.127
06/08/16 08:00 AM	12.0	0.035	0.022	0.127	0.126
06/08/16 12:00 PM	24.8	0.041	0.025	0.124	0.125
06/08/16 04:00 PM	29.8	0.047	0.027	0.123	0.123
06/08/16 08:00 PM	28.5	0.041	0.024	0.122	0.123
06/09/16 12:00 AM	15.0	0.032	0.020	0.123	0.123
06/09/16 04:00 AM	12.4	0.030	0.018	0.123	0.123
06/09/16 08:00 AM	11.5	0.029	0.017	0.121	0.122
06/09/16 12:00 PM	22.4	0.034	0.019	0.118	0.121
06/09/16 04:00 PM	28.4	0.039	0.021	0.117	0.117
06/09/16 08:00 PM	26.5	0.034	0.018	0.117	0.117
06/10/16 12:00 AM	14.1	0.026	0.014	0.117	0.116
06/10/16 04:00 AM	8.3	0.021	0.011	0.117	0.116
06/10/16 08:00 AM	10.8	0.021	0.011	0.116	0.115
06/10/16 12:00 PM	25.3	0.028	0.015	0.113	0.113
06/10/16 04:00 PM	29.4	0.035	0.017	0.111	0.111
06/10/16 08:00 PM	27.8	0.030	0.014	0.111	0.111
06/11/16 12:00 AM	17.9	0.018	0.015	0.111	0.110
06/11/16 04:00 AM	12.0	0.013	0.012	0.112	0.110
06/11/16 08:00 AM	11.7	0.013	0.011	0.111	0.109
06/11/16 12:00 PM	15.3	0.015	0.013	0.110	0.108
06/11/16 04:00 PM	18.0	0.018	0.014	0.109	0.106
06/11/16 08:00 PM	14.2	0.015	0.012	0.109	0.106
06/12/16 12:00 AM	8.6	0.011	0.009	0.109	0.105
06/12/16 04:00 AM	2.2	0.009	0.008	0.108	0.105
06/12/16 08:00 AM	4.0	0.009	0.008	0.107	0.105
06/12/16 12:00 PM	13.4	0.012	0.009	0.106	0.105
06/12/16 04:00 PM	19.7	0.019	0.013	0.105	0.103
06/12/16 08:00 PM	22.7	0.021	0.013	0.105	0.102
06/13/16 12:00 AM	8.4	0.012	0.009	0.105	0.102
06/13/16 04:00 AM	7.6	0.009	0.007	0.105	0.103
06/13/16 08:00 AM	7.9	0.009	0.006	0.105	0.102
06/13/16 12:00 PM	18.5	0.015	0.009	0.104	0.102
06/13/16 04:00 PM	23.6	0.021	0.014	0.102	0.100
06/13/16 08:00 PM	24.3	0.020	0.012	0.102	0.100
06/14/16 12:00 AM	14.7	0.011	0.007	0.105	0.100
06/14/16 04:00 AM	5.6	0.007	0.004	0.105	0.100
06/14/16 08:00 AM	7.6	0.006	0.004	0.104	0.100
06/14/16 12:00 PM	16.6	0.011	0.006	0.102	0.100
06/14/16 04:00 PM	22.9	0.018	0.011	0.101	0.098
06/14/16 08:00 PM	20.3	0.014	0.009	0.102	0.098
06/15/16 12:00 AM	14.5	0.007	0.004	0.103	0.098
06/15/16 04:00 AM	10.8	0.004	0.002	0.103	0.098
06/15/16 08:00 AM	7.9	0.008	-0.004	0.093	0.100
06/15/16 12:00 PM	12.8	0.015	0.002	0.092	0.100
06/15/16 04:00 PM	20.0	0.020	0.012	0.095	0.098
06/15/16 08:00 PM	19.4	0.021	0.013	0.098	0.098
06/16/16 12:00 AM	12.5	0.047	0.036	0.094	0.100
06/16/16 04:00 AM	8.9	0.114	0.092	0.084	0.102
06/16/16 08:00 AM	5.6	0.111	0.089	0.087	0.101
06/16/16 12:00 PM	7.9	0.109	0.089	0.092	0.100
06/16/16 04:00 PM	15.1	0.107	0.087	0.092	0.098
06/16/16 08:00 PM	17.2	0.100	0.082	0.094	0.097
06/17/16 12:00 AM	6.0	0.089	0.076	0.096	0.097
06/17/16 04:00 AM	3.0	0.081	0.072	0.096	0.097
06/17/16 08:00 AM	5.3	0.077	0.069	0.095	0.096
06/17/16 12:00 PM	19.7	0.077	0.066	0.094	0.096
06/17/16 04:00 PM	26.0	0.090	0.061	0.093	0.094
06/17/16 08:00 PM	25.9	0.086	0.057	0.096	0.096
06/18/16 12:00 AM	11.4	0.073	0.053	0.099	0.096
06/18/16 04:00 AM	9.5	0.067	0.051	0.100	0.097
06/18/16 08:00 AM	10.9	0.065	0.049	0.098	0.096
06/18/16 12:00 PM	23.2	0.068	0.047	0.096	0.096
06/18/16 04:00 PM	28.2	0.073	0.044	0.096	0.095
06/18/16 08:00 PM	27.9	0.067	0.041	0.099	0.096
06/19/16 12:00 AM	14.4	0.057	0.038	0.100	0.096
06/19/16 04:00 AM	5.9	0.052	0.036	0.100	0.096
06/19/16 08:00 AM	6.1	0.051	0.036	0.099	0.095
06/19/16 12:00 PM	16.6	0.054	0.034	0.098	0.094
06/19/16 04:00 PM	24.1	0.062	0.034	0.096	0.094
06/19/16 08:00 PM	25.2	0.058	0.032	0.098	0.095
06/20/16 12:00 AM	10.9	0.047	0.028	0.100	0.096
06/20/16 04:00 AM	9.3	0.043	0.026	0.100	0.096
06/20/16 08:00 AM	9.5	0.042	0.026	0.099	0.095
06/20/16 12:00 PM	25.7	0.048	0.026	0.097	0.095
06/20/16 04:00 PM	32.5	0.055	0.028	0.095	0.094
06/20/16 08:00 PM	32.0	0.050	0.026	0.097	0.095
06/21/16 12:00 AM	16.1	0.038	0.021	0.100	0.096
06/21/16 04:00 AM	11.2	0.033	0.017	0.100	0.096
06/21/16 08:00 AM	12.4	0.032	0.016	0.099	0.095
06/21/16 12:00 PM	23.6	0.038	0.019	0.097	0.095
06/21/16 04:00 PM	31.6	0.045	0.022	0.096	0.094
06/21/16 08:00 PM	31.0	0.041	0.019	0.097	0.095
06/22/16 12:00 AM	18.3	0.030	0.014	0.100	0.095
06/22/16 04:00 AM	10.4	0.024	0.010	0.100	0.095
06/22/16 08:00 AM	8.7	0.021	0.008	0.099	0.094
06/22/16 12:00 PM	22.9	0.028	0.012	0.096	0.094
06/22/16 04:00 PM	29.5	0.038	0.015	0.094	0.093
06/22/16 08:00 PM	30.6	0.034	0.014	0.096	0.094
06/23/16 12:00 AM	14.4	0.022	0.006	0.099	0.094
06/23/16 04:00 AM	9.7	0.016	0.003	0.099	0.094
06/23/16 08:00 AM	11.4	0.015	0.002	0.097	0.094
06/23/16 12:00 PM	26.4	0.022	0.006	0.095	0.093
06/23/16 04:00 PM	31.5	0.031	0.010	0.094	0.093
06/23/16 08:00 PM	29.4	0.026	0.008	0.095	0.094
06/24/16 12:00 AM	15.7	0.015	0.000	0.098	0.094
06/24/16 04:00 AM	9.0	0.009	-0.003	0.098	0.093
06/24/16 08:00 AM	10.1	0.007	-0.005	0.096	0.092
06/24/16 12:00 PM	22.1	0.014	0.000	0.094	0.092
06/24/16 04:00 PM	26.8	0.021	0.004	0.094	0.091
06/24/16 08:00 PM	24.1	0.018	0.001	0.094	0.092
06/25/16 12:00 AM	13.6	0.008	-0.005	0.096	0.092
06/25/16 04:00 AM	6.9	0.003	-0.009	0.096	0.092
06/25/16 08:00 AM	5.6	0.000	-0.011	0.094	0.090
06/25/16 12:00 PM	16.1	0.007	-0.005	0.093	0.090
06/25/16 04:00 PM	23.1	0.018	0.002	0.092	0.089
06/25/16 08:00 PM	24.7	0.016	-0.001	0.094	0.090
06/26/16 12:00 AM	9.7	0.004	-0.008	0.095	0.091
06/26/16 04:00 AM	5.6	-0.001	-0.013	0.095	0.091
06/26/16 08:00 AM	7.2	-0.002	-0.014	0.094	0.090
06/26/16 12:00 PM	22.2	0.006	-0.008	0.092	0.089
06/26/16 04:00 PM	28.5	0.018	0.000	0.091	0.089
06/26/16 08:00 PM	30.4	0.016	-0.002	0.093	0.090
06/27/16 12:00 AM	14.9	0.004	-0.010	0.094	0.091
06/27/16 04:00 AM	10.8	-0.001	-0.014	0.094	0.091
06/27/16 08:00 AM	12.1	-0.002	-0.015	0.094	0.090
06/27/16 12:00 PM	27.1	0.005	-0.008	0.092	0.090
06/27/16 04:00 PM	33.9	0.018	-0.001	0.091	0.089
06/27/16 08:00 PM	34.1	0.015	-0.003	0.093	0.091
06/28/16 12:00 AM	17.8	0.003	-0.012	0.095	0.092
06/28/16 04:00 AM	14.1	-0.002	-0.015	0.095	0.092
