Measurement Time	Port 1 ECT/RT-1 Temperature °C Temp	Port 2 EC-5 Soil Moisture m³/m³ VWC	Port 3 EC-5 Soil Moisture m³/m³ VWC	Port 4 EC-5 Soil Moisture m³/m³ VWC	Port 5 EC-5 Soil Moisture m³/m³ VWC
05/10/16 02:00 PM	5.3	0.171	0.101	-0.070	0.104
05/10/16 04:00 PM	9.1	0.191	0.100	* * * 	0.107
05/10/16 06:00 PM	6.0	0.191	0.101	* * * 	0.109
05/10/16 08:00 PM	4.2	0.188	0.102	* * * 	0.109
05/10/16 10:00 PM	2.7	0.185	0.102	* * * 	0.109
05/11/16 12:00 AM	1.9	0.183	0.101	* * * 	0.109
05/11/16 02:00 AM	-0.1	0.181	0.101	* * * 	0.108
05/11/16 04:00 AM	-2.6	0.179	0.100	* * * 	0.108
05/11/16 06:00 AM	-3.7	0.178	0.100	* * * 	0.107
05/11/16 08:00 AM	-1.8	0.176	0.100	* * * 	0.107
05/11/16 10:00 AM	7.6	0.176	0.100	* * * 	0.107
05/11/16 12:00 PM	12.5	0.177	0.100	* * * 	0.107
05/11/16 02:00 PM	15.5	0.178	0.100	* * * 	0.107
05/11/16 04:00 PM	16.6	0.179	0.100	* * * 	0.109
05/11/16 06:00 PM	15.3	0.178	0.102	* * * 	0.110
05/11/16 08:00 PM	13.8	0.175	0.103	* * * 	0.111
05/11/16 10:00 PM	5.0	0.174	0.104	* * * 	0.111
05/12/16 12:00 AM	-0.7	0.172	0.104	* * * 	0.111
05/12/16 02:00 AM	-0.7	0.170	0.103	* * * 	0.111
05/12/16 04:00 AM	-2.0	0.168	0.102	* * * 	0.110
05/12/16 06:00 AM	-1.9	0.167	0.102	* * * 	0.109
05/12/16 08:00 AM	0.9	0.166	0.101	* * * 	0.108
05/12/16 10:00 AM	10.9	0.166	0.101	* * * 	0.108
05/12/16 12:00 PM	15.3	0.165	0.101	* * * 	0.108
05/12/16 02:00 PM	19.0	0.163	0.101	* * * 	0.109
05/12/16 04:00 PM	21.6	0.162	0.102	* * * 	0.110
05/12/16 06:00 PM	21.8	0.161	0.103	* * * 	0.111
05/12/16 08:00 PM	19.6	0.157	0.105	* * * 	0.112
05/12/16 10:00 PM	11.6	0.156	0.105	* * * 	0.113
05/13/16 12:00 AM	3.3	0.156	0.105	* * * 	0.112
05/13/16 02:00 AM	3.4	0.155	0.105	* * * 	0.112
05/13/16 04:00 AM	2.6	0.154	0.104	* * * 	0.111
05/13/16 06:00 AM	2.2	0.153	0.103	* * * 	0.111
05/13/16 08:00 AM	5.5	0.152	0.103	* * * 	0.110
05/13/16 10:00 AM	11.5	0.151	0.103	* * * 	0.110
05/13/16 12:00 PM	18.3	0.148	0.102	* * * 	0.110
05/13/16 02:00 PM	24.7	0.145	0.102	* * * 	0.110
05/13/16 04:00 PM	24.0	0.142	0.103	* * * 	0.111
05/13/16 06:00 PM	24.6	0.140	0.104	* * * 	0.112
05/13/16 08:00 PM	20.9	0.137	0.105	* * * 	0.113
05/13/16 10:00 PM	13.7	0.136	0.105	* * * 	0.113
05/14/16 12:00 AM	9.9	0.136	0.105	* * * 	0.113
05/14/16 02:00 AM	7.2	0.137	0.105	* * * 	0.113
05/14/16 04:00 AM	5.5	0.136	0.105	* * * 	0.112
05/14/16 06:00 AM	5.3	0.135	0.105	* * * 	0.111
05/14/16 08:00 AM	5.5	0.134	0.104	* * * 	0.111
05/14/16 10:00 AM	9.4	0.133	0.104	* * * 	0.111
05/14/16 12:00 PM	13.3	0.130	0.103	* * * 	0.111
05/14/16 02:00 PM	20.3	0.128	0.103	* * * 	0.111
05/14/16 04:00 PM	22.4	0.125	0.103	* * * 	0.111
05/14/16 06:00 PM	19.6	0.123	0.104	* * * 	0.111
05/14/16 08:00 PM	15.3	0.123	0.105	* * * 	0.112
05/14/16 10:00 PM	11.8	0.123	0.105	* * * 	0.113
05/15/16 12:00 AM	9.0	0.122	0.105	* * * 	0.112
05/15/16 02:00 AM	8.1	0.122	0.105	* * * 	0.112
05/15/16 04:00 AM	7.0	0.116	0.104	* * * 	0.111
05/15/16 06:00 AM	5.7	0.123	0.102	* * * 	0.106
05/15/16 08:00 AM	5.3	0.174	0.101	* * * 	0.105
05/15/16 10:00 AM	5.8	0.193	0.101	* * * 	0.105
05/15/16 12:00 PM	8.4	0.194	0.100	* * * 	0.105
05/15/16 02:00 PM	9.4	0.201	0.101	* * * 	0.104
05/15/16 04:00 PM	11.1	0.208	0.101	* * * 	0.104
05/15/16 06:00 PM	11.3	0.207	0.100	* * * 	0.103
05/15/16 08:00 PM	10.0	0.203	0.102	* * * 	0.103
05/15/16 10:00 PM	6.8	0.200	0.101	* * * 	0.104
05/16/16 12:00 AM	5.8	0.200	0.100	* * * 	0.104
05/16/16 02:00 AM	6.3	0.200	0.100	* * * 	0.103
05/16/16 04:00 AM	5.2	0.199	0.100	* * * 	0.103
05/16/16 06:00 AM	4.8	0.197	0.100	* * * 	0.102
05/16/16 08:00 AM	5.8	0.196	0.100	* * * 	0.102
05/16/16 10:00 AM	8.6	0.196	0.100	* * * 	0.102
05/16/16 12:00 PM	11.7	0.195	0.100	* * * 	0.102
05/16/16 02:00 PM	12.8	0.194	0.100	* * * 	0.103
05/16/16 04:00 PM	12.8	0.193	0.100	* * * 	0.103
05/16/16 06:00 PM	17.0	0.192	0.100	* * * 	0.104
05/16/16 08:00 PM	15.6	0.191	0.101	* * * 	0.105
05/16/16 10:00 PM	10.1	0.190	0.102	* * * 	0.105
05/17/16 12:00 AM	8.5	0.188	0.102	* * * 	0.105
05/17/16 02:00 AM	7.1	0.187	0.102	* * * 	0.105
05/17/16 04:00 AM	7.9	0.186	0.101	* * * 	0.104
05/17/16 06:00 AM	7.3	0.185	0.101	* * * 	0.104
05/17/16 08:00 AM	8.4	0.185	0.100	* * * 	0.103
05/17/16 10:00 AM	13.2	0.184	0.100	* * * 	0.103
05/17/16 12:00 PM	15.9	0.183	0.100	* * * 	0.104
05/17/16 02:00 PM	18.7	0.182	0.100	* * * 	0.105
05/17/16 04:00 PM	19.6	0.181	0.101	* * * 	0.105
05/17/16 06:00 PM	20.9	0.181	0.102	* * * 	0.106
05/17/16 08:00 PM	16.5	0.179	0.103	* * * 	0.107
05/17/16 10:00 PM	8.6	0.179	0.104	* * * 	0.108
05/18/16 12:00 AM	5.7	0.178	0.104	* * * 	0.107
05/18/16 02:00 AM	2.4	0.176	0.103	* * * 	0.106
05/18/16 04:00 AM	5.1	0.175	0.103	* * * 	0.105
05/18/16 06:00 AM	5.7	0.174	0.102	* * * 	0.105
05/18/16 08:00 AM	6.4	0.174	0.102	* * * 	0.105
05/18/16 10:00 AM	14.3	0.173	0.101	* * * 	0.105
05/18/16 12:00 PM	19.5	0.172	0.101	* * * 	0.105
05/18/16 02:00 PM	22.2	0.171	0.102	* * * 	0.106
05/18/16 04:00 PM	22.9	0.170	0.103	* * * 	0.108
05/18/16 06:00 PM	21.2	0.168	0.104	* * * 	0.110
05/18/16 08:00 PM	18.9	0.166	0.105	* * * 	0.111
05/18/16 10:00 PM	13.1	0.165	0.105	* * * 	0.111
05/19/16 12:00 AM	8.3	0.165	0.105	* * * 	0.110
05/19/16 02:00 AM	8.7	0.164	0.105	* * * 	0.110
05/19/16 04:00 AM	6.6	0.163	0.105	* * * 	0.109
05/19/16 06:00 AM	5.8	0.163	0.104	* * * 	0.108
05/19/16 08:00 AM	8.7	0.162	0.104	* * * 	0.107
05/19/16 10:00 AM	13.8	0.161	0.104	* * * 	0.107
05/19/16 12:00 PM	16.5	0.159	0.103	* * * 	0.107
05/19/16 02:00 PM	14.6	0.156	0.103	* * * 	0.107
05/19/16 04:00 PM	15.7	0.156	0.104	* * * 	0.108
05/19/16 06:00 PM	8.5	0.171	0.103	* * * 	0.107
05/19/16 08:00 PM	7.1	0.198	0.103	* * * 	0.105
